frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,10.090188,7.752867,3.7979922,LGd,82
1.0,9.251792,9.3847885,3.6671107,LGd,82
2.0,8.973099,9.248062,3.7077944,LGd,82
3.0,8.988974,9.120254,3.823858,LGd,82
4.0,8.971671,9.132782,3.937731,LGd,82
5.0,9.275241,9.354248,3.8519793,LGd,82
6.0,9.217878,9.39029,3.856303,LGd,82
7.0,9.32111,9.244231,3.998039,LGd,82
8.0,9.579874,8.965734,4.5339093,LGd,82
9.0,9.2364235,5.1407437,4.543199,LGd,82
10.0,9.152841,5.072393,4.5514994,LGd,82
11.0,9.127289,5.2109027,4.393784,LGd,82
12.0,9.168709,5.189547,4.517119,LGd,82
13.0,9.303188,5.2145333,4.524385,LGd,82
14.0,9.240554,5.1274467,4.498762,LGd,82
15.0,9.270038,5.1933026,4.440131,LGd,82
16.0,9.205923,5.1377926,4.483929,LGd,82
17.0,9.182539,5.0993476,4.467449,LGd,82
18.0,9.311738,5.203799,4.484153,LGd,82
19.0,9.808873,5.5695205,4.4566774,LGd,82
20.0,9.593988,5.7546687,4.3502026,LGd,82
21.0,9.678104,5.8822355,4.4288983,LGd,82
22.0,9.665462,5.5668297,4.48019,LGd,82
23.0,9.321166,6.4109664,5.4018393,LGd,82
24.0,9.273596,6.4592395,5.3355155,LGd,82
25.0,8.828062,5.813241,4.328512,LGd,82
26.0,9.63375,6.5984592,5.3484054,LGd,82
27.0,8.5992565,6.5018215,4.2498116,LGd,82
28.0,8.728872,6.213949,4.728024,LGd,82
29.0,8.863636,6.294811,4.939325,LGd,82
30.0,8.429764,6.1771097,4.473707,LGd,82
31.0,8.965982,5.9505515,3.859875,LGd,82
32.0,9.096429,5.8931417,4.1430316,LGd,82
33.0,8.831444,6.050844,4.031635,LGd,82
34.0,8.325528,6.820046,3.9720988,LGd,82
35.0,7.954476,7.781697,3.269687,LGd,82
36.0,8.783782,6.5321856,3.831937,LGd,82
37.0,10.569709,5.7344327,3.9073718,LGd,82
38.0,7.9825325,6.700849,3.6479926,LGd,82
39.0,8.336035,6.6436896,4.373824,LGd,82
40.0,8.391947,6.657964,4.3750834,LGd,82
41.0,9.4363985,6.644482,5.3413663,LGd,82
42.0,9.795732,6.3700004,4.9696274,LGd,82
43.0,8.557546,6.168431,4.834035,LGd,82
44.0,8.490087,6.173075,4.729761,LGd,82
45.0,8.451468,6.192585,4.694936,LGd,82
46.0,8.412075,6.4226956,4.591644,LGd,82
47.0,9.217354,6.875874,5.3741517,LGd,82
48.0,8.806843,6.273209,4.9004445,LGd,82
49.0,8.708097,6.225239,4.8360753,LGd,82
50.0,9.015741,6.73958,5.0539126,LGd,82
51.0,8.99878,7.0112715,5.056698,LGd,82
52.0,8.83878,6.5574317,4.458712,LGd,82
53.0,9.145695,6.785524,4.942461,LGd,82
54.0,8.984538,6.913291,5.0585217,LGd,82
55.0,9.11658,6.8476777,4.722957,LGd,82
56.0,9.11643,6.7758446,4.87273,LGd,82
57.0,10.134611,5.8929935,3.0372748,LGd,82
58.0,9.585699,5.507229,4.039306,LGd,82
59.0,9.035916,5.6905494,4.070626,LGd,82
60.0,9.557218,5.594439,4.1986775,LGd,82
61.0,9.785106,5.5556874,4.34925,LGd,82
62.0,9.63793,5.832577,4.538151,LGd,82
63.0,7.703104,7.8316917,2.5367577,LGd,82
64.0,7.900459,7.9818153,2.6839364,LGd,82
65.0,9.67541,8.712692,3.074206,LGd,82
66.0,9.627607,8.787907,3.0118608,LGd,82
67.0,9.989385,8.662372,2.8191733,LGd,82
68.0,9.925353,8.581391,2.8323114,LGd,82
69.0,10.078125,8.213825,2.686808,LGd,82
70.0,9.926743,8.432523,2.6521652,LGd,82
71.0,9.78092,8.539763,2.691261,LGd,82
72.0,9.863564,8.6681385,2.743945,LGd,82
73.0,9.597309,8.652921,2.7451684,LGd,82
74.0,9.063744,8.676237,3.442731,LGd,82
75.0,8.679589,8.5140915,3.4700458,LGd,82
76.0,9.187296,8.222367,3.352128,LGd,82
77.0,8.462957,8.411365,3.7847414,LGd,82
78.0,8.597693,8.418657,3.0076427,LGd,82
79.0,8.011035,8.343132,2.8086517,LGd,82
80.0,7.943768,8.187918,2.7024674,LGd,82
81.0,8.011368,8.181717,2.7165875,LGd,82
82.0,8.078655,8.165686,2.5615983,LGd,82
83.0,8.012242,8.102243,2.6525252,LGd,82
84.0,8.002211,8.156137,2.7080772,LGd,82
85.0,8.080576,8.097235,2.5910232,LGd,82
86.0,8.262971,8.361955,2.891042,LGd,82
87.0,9.62888,7.3644004,4.49789,LGd,82
88.0,9.576948,6.5595527,4.746799,LGd,82
89.0,8.920577,7.494067,4.732012,LGd,82
90.0,9.094046,7.462127,4.676822,LGd,82
91.0,10.296271,6.889736,4.664152,LGd,82
92.0,10.307401,7.207912,4.6870456,LGd,82
93.0,9.528522,6.6250873,5.514333,LGd,82
94.0,9.4590645,6.5856595,5.479406,LGd,82
95.0,9.6689005,6.820584,5.3125486,LGd,82
96.0,9.846891,6.612851,5.376968,LGd,82
97.0,9.626671,6.6576037,5.4600887,LGd,82
98.0,9.802769,6.570654,5.305322,LGd,82
99.0,9.518109,6.5640807,5.333501,LGd,82
100.0,9.302146,6.6836467,5.4043126,LGd,82
101.0,9.519157,6.697119,5.425346,LGd,82
102.0,9.320466,6.6426053,5.0294952,LGd,82
103.0,9.586892,6.9423285,5.2237716,LGd,82
104.0,9.261398,6.875587,5.343777,LGd,82
105.0,10.214337,6.770794,5.060697,LGd,82
106.0,10.014484,7.1105037,5.348341,LGd,82
107.0,10.025944,7.0786824,5.246099,LGd,82
108.0,10.024752,6.857713,5.2279296,LGd,82
109.0,9.934892,7.0764236,5.3567786,LGd,82
110.0,10.137089,6.8448706,4.8968163,LGd,82
111.0,9.956643,6.7573004,5.1841025,LGd,82
112.0,9.819928,6.5714045,5.1205177,LGd,82
113.0,9.942665,6.3205347,5.02231,LGd,82
114.0,9.949309,6.984478,4.9764113,LGd,82
115.0,10.2429285,6.962762,4.9872007,LGd,82
116.0,10.131272,6.9677258,5.065906,LGd,82
117.0,9.9951105,6.4127207,4.9361086,LGd,82
118.0,9.548971,6.446667,4.8528414,LGd,82
119.0,9.616234,6.5227323,4.7868085,LGd,82
120.0,9.075164,6.522985,4.855117,LGd,82
121.0,8.957157,6.352023,4.7189407,LGd,82
122.0,9.658112,6.7716517,4.993816,LGd,82
123.0,8.215241,6.3662176,3.5830932,LGd,82
124.0,8.124603,6.4832697,3.8075242,LGd,82
125.0,8.59386,6.347682,3.8504658,LGd,82
126.0,8.888621,7.2384005,4.229888,LGd,82
127.0,8.610411,6.540645,4.0005426,LGd,82
128.0,9.420106,7.2670856,4.891456,LGd,82
129.0,9.471713,7.0761995,4.8626776,LGd,82
130.0,10.180213,7.185442,4.7572947,LGd,82
131.0,9.887127,6.3249907,4.883132,LGd,82
132.0,10.589546,6.2273445,4.3558383,LGd,82
133.0,10.719559,6.2324986,4.235659,LGd,82
134.0,10.786335,6.2757053,4.088312,LGd,82
135.0,10.759373,6.415949,4.2878046,LGd,82
136.0,10.796029,6.3772955,4.2294827,LGd,82
137.0,10.644272,6.968033,3.4309428,LGd,82
138.0,9.786929,7.9595256,5.2238493,LGd,82
139.0,9.596447,8.129081,4.952656,LGd,82
140.0,8.1520605,7.3319674,3.5463004,LGd,82
141.0,9.171225,8.451416,4.0565305,LGd,82
142.0,7.729508,7.8898363,2.666519,LGd,82
143.0,7.952542,7.6648164,3.0527947,LGd,82
144.0,9.017786,9.267988,3.5181303,LGd,82
145.0,9.130103,9.360624,3.5967925,LGd,82
146.0,9.166471,9.388738,3.6156623,LGd,82
147.0,10.411615,8.4509,3.6254535,LGd,82
148.0,9.176837,9.373632,3.5664473,LGd,82
149.0,10.181451,8.694591,3.5772023,LGd,82
150.0,10.090262,8.503945,3.7663803,LGd,82
151.0,10.284727,7.6767974,4.055087,LGd,82
152.0,9.329569,9.149835,3.5313714,LGd,82
153.0,9.347222,9.114515,3.359114,LGd,82
154.0,9.33912,9.260001,3.5528123,LGd,82
155.0,9.191752,9.282254,3.469126,LGd,82
156.0,9.324083,8.299845,2.5823395,LGd,82
157.0,9.197057,8.195261,2.5553164,LGd,82
158.0,8.936502,8.232323,2.64949,LGd,82
159.0,9.382803,8.248129,2.5463443,LGd,82
160.0,9.632532,8.133014,2.5649335,LGd,82
161.0,10.080881,8.099912,3.032109,LGd,82
162.0,10.210592,8.1925535,3.4737804,LGd,82
163.0,10.218785,8.412825,3.5786674,LGd,82
164.0,10.29921,8.364492,3.7064662,LGd,82
165.0,9.689118,8.018452,5.386788,LGd,82
166.0,9.795795,7.7814045,5.431986,LGd,82
167.0,9.837329,7.365415,5.334033,LGd,82
168.0,9.706183,7.962603,5.4361386,LGd,82
169.0,9.8305855,7.7853436,5.4050245,LGd,82
170.0,10.012754,7.469341,5.170763,LGd,82
171.0,9.7917385,7.8429875,5.318882,LGd,82
172.0,9.359974,7.9163413,4.799467,LGd,82
173.0,9.114001,8.055037,4.4229813,LGd,82
174.0,8.705241,8.498275,3.6843379,LGd,82
175.0,9.45806,8.265045,3.1284611,LGd,82
176.0,9.482915,8.187742,2.6462128,LGd,82
177.0,9.279695,7.9710827,4.427402,LGd,82
178.0,9.612418,7.7595057,4.6654124,LGd,82
179.0,9.734942,7.6820025,4.632363,LGd,82
180.0,9.457877,7.8709674,4.4760695,LGd,82
181.0,9.341508,7.8041925,4.522641,LGd,82
182.0,9.603315,7.704133,4.634581,LGd,82
183.0,9.6899185,8.037497,4.5642495,LGd,82
184.0,9.833914,7.2685456,5.176553,LGd,82
185.0,9.50899,7.42033,4.93547,LGd,82
186.0,9.585431,8.345661,4.6312323,LGd,82
187.0,9.942589,7.918972,4.8518834,LGd,82
188.0,10.001569,7.96504,5.0221953,LGd,82
189.0,9.815212,7.916816,5.2863517,LGd,82
190.0,9.833001,7.902574,5.3256574,LGd,82
191.0,8.947063,8.098563,4.535416,LGd,82
192.0,8.422336,7.903783,3.7858431,LGd,82
193.0,9.731094,8.099143,3.047508,LGd,82
194.0,9.191194,9.3667,3.610143,LGd,82
195.0,10.417131,7.6339917,4.520003,LGd,82
196.0,10.6578,7.2787557,4.494974,LGd,82
197.0,10.697915,7.348664,4.512381,LGd,82
198.0,10.695622,7.2188497,4.502347,LGd,82
199.0,10.603226,7.200302,4.400473,LGd,82
200.0,10.640614,7.106549,4.4436927,LGd,82
201.0,10.588273,7.2796493,4.0826015,LGd,82
202.0,10.379915,7.1189203,3.9533803,LGd,82
203.0,10.689755,7.117962,4.154035,LGd,82
204.0,10.823441,6.9952264,4.107444,LGd,82
205.0,10.8314905,6.8997173,4.0045652,LGd,82
206.0,10.703376,6.945912,4.120932,LGd,82
207.0,10.846353,6.984147,3.8564575,LGd,82
208.0,10.637273,6.8808017,4.0335255,LGd,82
209.0,10.246647,7.497423,4.7246075,LGd,82
210.0,10.433201,6.940702,4.3562474,LGd,82
211.0,10.506584,7.004768,4.332821,LGd,82
