frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,0.12912998,11.756073,-12.639957,LP,142
1.0,0.08128985,11.809508,-12.464309,LP,142
2.0,0.14795971,11.603281,-12.1834955,LP,142
3.0,0.0694236,11.76208,-12.237051,LP,142
4.0,-0.12283711,11.936367,-12.261096,LP,142
5.0,-0.103120044,11.960625,-12.28276,LP,142
6.0,-0.116425514,11.934998,-12.303048,LP,142
7.0,-0.14362365,11.9100685,-12.18829,LP,142
8.0,-0.10850094,11.904617,-12.166105,LP,142
9.0,0.02133964,11.824923,-12.384593,LP,142
10.0,-0.24057253,12.028907,-12.007821,LP,142
11.0,-0.46852687,12.16712,-11.836559,LP,142
12.0,-0.6117645,12.2610855,-11.624722,LP,142
13.0,-0.6666198,12.303021,-11.600349,LP,142
14.0,-0.5963047,12.232931,-11.670369,LP,142
15.0,-0.6647949,12.294787,-11.529394,LP,142
16.0,-0.54258746,12.158013,-11.605015,LP,142
17.0,-0.58764184,12.228957,-11.623594,LP,142
18.0,-0.68441665,12.307675,-11.516199,LP,142
19.0,-0.5793426,12.228812,-11.431614,LP,142
20.0,-0.663161,12.290609,-11.484271,LP,142
21.0,-0.71964073,12.354245,-11.455466,LP,142
22.0,-0.7131413,12.33128,-11.441219,LP,142
23.0,-0.6339152,12.262779,-11.561559,LP,142
24.0,-0.96703684,12.525729,-10.836798,LP,142
25.0,-1.0167816,12.307312,-10.354944,LP,142
26.0,-0.9817653,12.583931,-10.600858,LP,142
27.0,-1.1239134,12.742879,-10.394441,LP,142
28.0,-1.1167196,12.787737,-10.243458,LP,142
29.0,-1.2240665,12.834774,-10.273104,LP,142
30.0,-1.1396625,12.7394495,-10.250738,LP,142
31.0,-1.2280132,12.898814,-10.144647,LP,142
32.0,-1.324225,12.719268,-10.274693,LP,142
33.0,-1.2618753,12.697913,-10.219579,LP,142
34.0,-1.0002494,12.592142,-10.074759,LP,142
35.0,-1.1607796,12.959158,-10.223587,LP,142
36.0,-1.2205691,12.832331,-10.250993,LP,142
37.0,-1.1833761,12.846327,-10.249301,LP,142
38.0,-1.0012269,12.802761,-10.118178,LP,142
39.0,-1.3991686,12.820741,-9.94892,LP,142
40.0,-1.0403821,12.751515,-10.044348,LP,142
41.0,-0.9594148,12.956355,-9.672904,LP,142
42.0,-1.0366412,12.861672,-9.597706,LP,142
43.0,-0.8642984,12.833068,-9.96307,LP,142
44.0,-0.9627944,12.924632,-9.852356,LP,142
45.0,-0.8554618,12.836101,-9.754115,LP,142
46.0,-0.7266241,12.952433,-9.935473,LP,142
47.0,-0.9522787,12.83528,-9.892555,LP,142
48.0,-1.0149453,12.884211,-9.674666,LP,142
49.0,-0.8214746,12.739729,-9.7699995,LP,142
50.0,-0.55159605,12.899971,-9.695472,LP,142
51.0,-1.1050217,12.9617195,-9.793699,LP,142
52.0,-1.0083544,12.950994,-9.819918,LP,142
53.0,-0.9957294,12.674065,-9.8324375,LP,142
54.0,-1.0551336,12.911613,-9.701108,LP,142
