frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,6.8067865,11.473191,2.3919694,PO,30
1.0,6.3997874,11.04043,2.712403,PO,30
2.0,6.356818,12.67368,3.7944605,PO,30
3.0,4.555518,13.222643,3.9013631,PO,30
4.0,5.878836,10.116101,4.542888,PO,30
5.0,5.1874547,13.410852,3.8473318,PO,30
6.0,6.0488763,12.931514,3.0358973,PO,30
7.0,5.1644626,13.068395,4.521144,PO,30
8.0,7.106565,12.121557,4.8823586,PO,30
9.0,4.584991,11.049715,3.4016373,PO,30
10.0,5.571873,11.714499,4.75344,PO,30
11.0,6.969052,11.264786,4.865729,PO,30
12.0,7.58775,11.669423,3.4332435,PO,30
13.0,5.8842726,11.639318,4.610235,PO,30
14.0,7.3936944,11.456392,3.9920275,PO,30
15.0,7.1540627,11.81706,4.497081,PO,30
16.0,7.24725,11.097465,4.6331005,PO,30
17.0,7.2541394,10.964268,4.529609,PO,30
18.0,5.781902,11.881519,4.4664183,PO,30
19.0,5.218463,11.146456,4.3118806,PO,30
20.0,4.925338,11.025332,4.1079683,PO,30
21.0,7.65537,11.321841,3.8621802,PO,30
22.0,5.699626,13.609973,4.304146,PO,30
23.0,5.2352624,12.146065,5.53556,PO,30
24.0,7.4372587,12.126888,4.4898167,PO,30
25.0,7.324983,11.894219,3.954787,PO,30
26.0,6.895477,10.8477,4.5535803,PO,30
27.0,5.287338,10.91374,4.6653414,PO,30
28.0,6.483275,11.008214,5.065692,PO,30
29.0,6.874527,10.66036,4.063721,PO,30
30.0,5.8009915,9.934657,4.2553053,PO,30
31.0,5.18661,13.331488,3.5593991,PO,30
32.0,4.5832357,11.460744,2.8790264,PO,30
33.0,7.239943,11.699949,4.056957,PO,30
34.0,7.6172805,11.227581,3.4400816,PO,30
35.0,7.612239,11.015464,3.3882947,PO,30
36.0,5.998272,10.930877,4.7268934,PO,30
37.0,6.6568084,11.688321,4.524668,PO,30
38.0,5.438208,12.137408,3.1031337,PO,30
39.0,6.000242,11.92418,3.248136,PO,30
40.0,4.6827974,10.957594,2.83813,PO,30
41.0,7.0874567,10.812565,3.271032,PO,30
42.0,7.0850034,12.596512,3.4344268,PO,30
43.0,7.2956467,11.663212,3.6558468,PO,30
44.0,7.379478,10.128926,3.7460546,PO,30
45.0,6.9576697,12.75822,4.5265484,PO,30
46.0,5.8116717,11.733964,5.38266,PO,30
47.0,5.125654,11.622957,4.429019,PO,30
48.0,4.605416,11.753346,3.991794,PO,30
49.0,4.7073765,11.574566,2.8022404,PO,30
50.0,7.306322,11.118647,4.249376,PO,30
51.0,7.2785897,11.7639065,3.964747,PO,30
52.0,5.8732634,12.724374,2.5971162,PO,30
53.0,4.945615,11.565521,3.0312672,PO,30
54.0,7.236051,12.37244,3.4374692,PO,30
55.0,6.9796305,12.136159,4.2104917,PO,30
56.0,7.5159774,11.88178,3.3513505,PO,30
57.0,5.554187,12.868092,3.0869014,PO,30
58.0,4.865894,11.75158,2.506894,PO,30
59.0,4.950434,10.253447,5.0562186,PO,30
60.0,6.2130785,10.888628,4.8808236,PO,30
61.0,4.8091526,10.100811,4.9008994,PO,30
62.0,6.724886,10.072516,3.645361,PO,30
63.0,5.698498,10.7463665,3.4618695,PO,30
64.0,5.625481,10.240008,2.8839772,PO,30
