frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,6.9901786,4.4504933,5.1265273,TH,13
1.0,7.630075,2.912902,6.4818125,TH,13
2.0,6.1671495,4.9592047,7.700746,TH,13
3.0,5.6784096,3.5012665,6.9291205,TH,13
4.0,7.6127725,3.0845678,7.4834785,TH,13
5.0,6.061814,2.6557593,6.9016347,TH,13
6.0,5.2519884,2.8486552,8.006861,TH,13
7.0,7.818944,2.2047436,7.552714,TH,13
8.0,5.672874,2.4439354,6.1630297,TH,13
9.0,7.170059,2.4595873,5.791425,TH,13
10.0,5.6724286,4.35781,6.5769315,TH,13
11.0,6.825737,4.5645084,5.694122,TH,13
12.0,6.824389,2.8624625,6.8674297,TH,13
13.0,7.8383503,2.329114,7.034296,TH,13
14.0,5.0335913,2.3327274,7.7116632,TH,13
15.0,6.1387997,3.953494,4.800156,TH,13
16.0,7.7392774,4.538566,5.3100967,TH,13
17.0,8.399208,2.8852344,5.7587996,TH,13
18.0,7.229334,2.8494525,6.804661,TH,13
19.0,8.2736225,2.9258425,6.538076,TH,13
20.0,7.854358,3.7890282,5.971621,TH,13
21.0,7.4378405,2.242106,6.762351,TH,13
22.0,8.550384,4.2486405,6.6293135,TH,13
23.0,7.820202,3.5376253,7.7820272,TH,13
24.0,6.3934164,2.85465,7.5699964,TH,13
25.0,5.8523703,1.5093654,6.581134,TH,13
26.0,5.080036,2.7895255,7.828656,TH,13
27.0,5.0076585,1.7801868,7.3633747,TH,13
28.0,7.7658234,2.6211467,8.021275,TH,13
29.0,5.1307993,2.3985758,7.8125615,TH,13
30.0,4.9009523,3.3584833,5.9678674,TH,13
31.0,6.420313,3.5722866,6.3696194,TH,13
32.0,6.1964006,3.393599,5.2314167,TH,13
33.0,6.790031,2.5546734,5.6271873,TH,13
34.0,8.514514,3.933872,7.0125837,TH,13
35.0,6.528426,3.011817,5.7182536,TH,13
36.0,7.775918,4.5915565,5.810162,TH,13
37.0,7.646453,3.479851,5.1984773,TH,13
38.0,6.795206,2.9302495,6.949088,TH,13
39.0,5.5455523,2.479568,7.10071,TH,13
40.0,7.3391085,3.914514,7.3012943,TH,13
41.0,4.6284685,2.9008083,6.565021,TH,13
42.0,5.498907,4.3354616,6.382449,TH,13
43.0,5.897519,3.1156979,6.971778,TH,13
44.0,5.798829,3.8068323,6.2100625,TH,13
45.0,6.465991,4.1303754,6.557719,TH,13
46.0,6.688992,4.2239375,6.4403906,TH,13
47.0,8.285921,3.6806705,8.272838,TH,13
48.0,7.4715796,4.914391,6.0916276,TH,13
49.0,7.53305,4.182765,5.663573,TH,13
50.0,7.0516925,2.3799586,5.3939357,TH,13
51.0,6.6331863,2.6433086,5.65749,TH,13
52.0,5.785479,1.5307771,6.9381113,TH,13
53.0,7.3073583,1.859646,5.849471,TH,13
54.0,5.8990903,2.3716054,7.91175,TH,13
55.0,7.059455,3.1767547,8.643263,TH,13
56.0,5.6058016,2.696213,6.6320176,TH,13
57.0,5.0299716,1.6283768,7.324635,TH,13
58.0,7.296935,5.0358043,6.761869,TH,13
59.0,5.1891317,2.4727461,5.897926,TH,13
60.0,4.9544,1.7323589,7.072424,TH,13
61.0,7.33309,2.5627606,5.295389,TH,13
62.0,6.924537,1.8589245,6.0320344,TH,13
63.0,7.0948524,2.415638,5.975956,TH,13
64.0,7.0654745,2.5904443,5.324764,TH,13
65.0,7.0329075,2.078403,6.665087,TH,13
66.0,5.789231,2.0160098,6.7956533,TH,13
67.0,7.0223484,1.9862055,8.008104,TH,13
68.0,6.2712846,3.3903344,8.539796,TH,13
69.0,7.660441,1.9580016,7.0299115,TH,13
70.0,7.2898693,1.991708,6.1665845,TH,13
71.0,7.2455153,1.984525,7.538788,TH,13
72.0,6.79447,2.46613,7.3387475,TH,13
73.0,6.956228,2.385498,7.6800094,TH,13
74.0,8.024142,3.384077,6.9986386,TH,13
75.0,6.7026424,2.1580477,7.8415766,TH,13
76.0,6.4822197,2.5924091,8.128291,TH,13
77.0,7.922473,2.8499403,8.091536,TH,13
78.0,5.8875637,2.2682118,6.9827423,TH,13
79.0,7.4159493,2.3016222,7.663496,TH,13
80.0,5.0628076,3.90038,6.169683,TH,13
81.0,6.1916003,1.744656,6.6914573,TH,13
82.0,7.013875,2.7224936,7.6447506,TH,13
83.0,6.4326453,1.893748,6.9319153,TH,13
84.0,6.673229,2.8038363,7.7484636,TH,13
85.0,6.4984894,1.8935025,8.104738,TH,13
86.0,7.8154507,1.8815175,6.479349,TH,13
87.0,7.679645,3.2342403,7.2954907,TH,13
88.0,6.45469,2.090343,6.3190055,TH,13
89.0,6.8844986,3.597302,6.42008,TH,13
90.0,6.242558,3.328017,8.5217705,TH,13
91.0,8.514604,3.6020083,6.0088577,TH,13
92.0,6.975356,4.5961113,6.253868,TH,13
93.0,6.00359,4.309058,6.869903,TH,13
94.0,7.902368,3.8015122,6.564652,TH,13
95.0,8.393191,3.8454468,5.8520107,TH,13
96.0,6.817181,2.9842944,5.9832807,TH,13
97.0,6.7527766,2.3026202,7.953225,TH,13
98.0,8.581566,4.403902,7.212638,TH,13
99.0,6.182504,3.7465065,5.8049483,TH,13
100.0,8.502772,3.9162333,6.178759,TH,13
101.0,6.209577,1.6924971,7.7979364,TH,13
102.0,7.468707,3.0341105,8.401104,TH,13
103.0,5.6899343,2.6342654,7.44153,TH,13
104.0,6.0146546,3.1602163,7.379239,TH,13
105.0,5.8500986,3.2431784,8.271267,TH,13
106.0,7.5096803,3.265348,8.662068,TH,13
107.0,6.7822948,3.748455,8.435252,TH,13
108.0,7.526383,3.2349691,8.593257,TH,13
109.0,8.150542,3.5586243,8.469276,TH,13
110.0,5.7302103,3.2161014,7.9151278,TH,13
111.0,7.206849,4.328193,7.431539,TH,13
112.0,6.964261,4.1986904,5.323851,TH,13
113.0,4.7060604,2.9842856,6.909818,TH,13
114.0,5.1611953,3.2022517,5.634488,TH,13
115.0,5.689547,3.1200686,5.815271,TH,13
116.0,7.7884545,3.4867237,7.1736813,TH,13
117.0,6.750844,5.166182,6.4418,TH,13
118.0,7.98916,2.1852171,6.622894,TH,13
119.0,7.916246,2.2125034,6.58682,TH,13
120.0,6.1989884,1.5462242,6.708727,TH,13
121.0,6.7098775,4.324677,5.203502,TH,13
122.0,6.3637605,4.6640162,6.4836664,TH,13
123.0,7.705606,3.6620831,7.841082,TH,13
124.0,7.728484,2.373863,6.9592476,TH,13
125.0,6.7290597,5.0751724,5.77342,TH,13
126.0,6.135967,1.4421569,6.7907157,TH,13
127.0,6.3607163,2.1995504,7.097088,TH,13
128.0,7.849055,3.4527085,7.4239354,TH,13
129.0,7.966003,3.7264726,8.389676,TH,13
130.0,6.920824,3.0947807,5.852707,TH,13
131.0,7.6312966,4.5222926,6.883579,TH,13
132.0,7.175361,3.7757168,6.6797214,TH,13
133.0,6.7344155,4.720373,5.457855,TH,13
134.0,5.877063,2.9209058,7.5603027,TH,13
135.0,6.63255,2.8329077,8.510177,TH,13
136.0,5.1237545,3.6985009,7.5753746,TH,13
137.0,7.5254936,3.4563315,7.743643,TH,13
138.0,6.0490065,3.4484847,8.043364,TH,13
139.0,5.826418,2.5687788,7.038773,TH,13
140.0,6.0493293,3.4708326,6.2653985,TH,13
141.0,6.305526,3.9202335,5.9341984,TH,13
142.0,5.7312374,3.230689,5.1124034,TH,13
143.0,6.017544,3.4585695,5.286651,TH,13
144.0,6.3518763,4.342945,5.0107408,TH,13
145.0,5.6043496,4.339637,6.4205885,TH,13
146.0,6.5823846,4.9692516,6.0545034,TH,13
147.0,4.815846,2.1467574,7.6662607,TH,13
148.0,6.708168,2.394479,6.3380694,TH,13
149.0,6.1619806,2.6004004,7.0597367,TH,13
150.0,6.265411,2.058887,7.5927253,TH,13
151.0,7.364477,3.9391315,6.7754607,TH,13
152.0,7.349958,4.324355,5.489233,TH,13
153.0,5.7432427,3.2456257,6.922417,TH,13
154.0,7.5828295,3.3608737,8.6053295,TH,13
155.0,7.4283404,2.7199848,6.035881,TH,13
156.0,6.546449,2.4815066,7.3886104,TH,13
157.0,7.152316,4.439412,6.559999,TH,13
158.0,6.6368575,4.0730815,6.5327597,TH,13
159.0,6.440387,3.4576533,7.9914675,TH,13
160.0,7.826725,2.5526438,7.8590927,TH,13
161.0,8.549629,4.033376,7.0151334,TH,13
162.0,7.4831867,4.1412997,7.915527,TH,13
163.0,8.597752,3.8921251,7.3428745,TH,13
