frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,11.018654,20.117716,15.791233,VISal,46
1.0,11.258869,19.923344,15.728447,VISal,46
2.0,12.219324,18.085068,15.224586,VISal,46
3.0,11.809296,17.955778,15.163155,VISal,46
4.0,11.778342,18.073399,15.29431,VISal,46
5.0,11.639823,18.226954,15.256251,VISal,46
6.0,11.616374,17.787811,15.182752,VISal,46
7.0,11.542844,17.675573,15.148082,VISal,46
8.0,11.500093,17.683212,15.223555,VISal,46
9.0,11.17547,17.152018,15.295683,VISal,46
10.0,11.204906,17.079147,15.221055,VISal,46
11.0,11.220875,16.945179,15.173263,VISal,46
12.0,11.415317,17.429121,15.230009,VISal,46
13.0,11.044402,16.91414,15.191877,VISal,46
14.0,11.091147,16.785076,15.1016655,VISal,46
15.0,11.199748,16.984346,15.2165,VISal,46
16.0,9.452619,15.034679,11.758415,VISal,46
17.0,9.516961,15.149409,11.889313,VISal,46
18.0,9.446759,14.963223,11.727083,VISal,46
19.0,9.611363,15.1744795,11.968545,VISal,46
20.0,9.517573,15.103986,11.864023,VISal,46
21.0,9.422947,15.036158,11.778449,VISal,46
22.0,9.273181,14.793671,11.642995,VISal,46
23.0,9.081468,14.747406,11.339257,VISal,46
24.0,9.187915,14.944481,11.493021,VISal,46
25.0,9.070053,14.550033,11.219008,VISal,46
26.0,9.097353,14.622051,11.208218,VISal,46
27.0,9.214144,14.750376,11.582145,VISal,46
28.0,9.157086,14.724219,11.450832,VISal,46
29.0,9.181579,14.806195,11.490173,VISal,46
30.0,9.242614,14.643126,11.489173,VISal,46
31.0,9.263943,14.462343,11.199962,VISal,46
32.0,9.178317,14.291836,11.212567,VISal,46
33.0,9.133167,14.443979,11.601259,VISal,46
34.0,9.159439,14.401592,11.609174,VISal,46
35.0,9.138159,13.820478,11.4320545,VISal,46
36.0,9.06677,14.321653,11.347923,VISal,46
37.0,9.334543,14.038019,11.202889,VISal,46
38.0,9.123882,14.40588,11.650593,VISal,46
39.0,9.279389,14.453637,11.451972,VISal,46
40.0,9.143113,14.136216,11.135159,VISal,46
41.0,9.242538,13.902032,11.553332,VISal,46
42.0,9.231537,14.198578,11.583337,VISal,46
43.0,9.599135,14.204024,11.641601,VISal,46
44.0,9.2273035,14.284755,11.697249,VISal,46
45.0,9.496585,14.614862,11.621868,VISal,46
46.0,9.154759,14.471187,11.600342,VISal,46
47.0,9.215964,14.415252,11.34746,VISal,46
48.0,9.632252,14.196547,11.084893,VISal,46
49.0,9.235849,14.1945915,11.594841,VISal,46
