frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,19.336908,-7.4705358,-3.5260143,VISam,64
1.0,19.231457,-7.487597,-3.4496062,VISam,64
2.0,8.46942,8.705233,-0.5735283,VISam,64
3.0,8.441618,8.677137,-0.53022045,VISam,64
4.0,8.163194,8.731845,-0.61812997,VISam,64
5.0,7.9143753,8.8232155,-0.79172295,VISam,64
6.0,7.983532,8.799206,-0.7543135,VISam,64
7.0,7.719149,8.922568,-0.9672663,VISam,64
8.0,7.770429,8.909997,-0.97614396,VISam,64
9.0,7.53887,9.040556,-1.1462063,VISam,64
10.0,7.375572,9.07116,-0.9108421,VISam,64
11.0,7.291622,9.135436,-0.9377397,VISam,64
12.0,7.4866977,9.240257,-1.0481589,VISam,64
13.0,7.084115,9.183868,-1.132148,VISam,64
14.0,6.8532524,9.26268,-1.1290663,VISam,64
15.0,6.375579,9.301965,-1.1714845,VISam,64
16.0,6.6062,9.328879,-1.1694976,VISam,64
17.0,5.8924394,9.3915825,-1.3238883,VISam,64
18.0,6.3377147,9.30388,-1.1784203,VISam,64
19.0,5.830458,9.412187,-1.367615,VISam,64
20.0,6.181533,9.320448,-1.2098384,VISam,64
21.0,5.8518896,9.420211,-1.3660418,VISam,64
22.0,6.0728116,9.350693,-1.2444805,VISam,64
23.0,5.87892,9.40123,-1.3214283,VISam,64
24.0,5.972297,9.373394,-1.2859191,VISam,64
25.0,6.0025373,9.368385,-1.2768266,VISam,64
26.0,5.822939,9.4249,-1.3946278,VISam,64
27.0,5.7012763,9.50519,-1.4882933,VISam,64
28.0,5.6379695,9.517801,-1.5935588,VISam,64
29.0,5.548187,9.6154175,-1.6826401,VISam,64
30.0,5.348452,9.82837,-2.0403721,VISam,64
31.0,5.628151,9.523228,-1.8339456,VISam,64
32.0,5.501667,9.676763,-1.7997785,VISam,64
33.0,5.7496896,9.455075,-1.4625171,VISam,64
34.0,5.6002865,9.548759,-1.5726024,VISam,64
35.0,5.384798,10.217057,-2.5469224,VISam,64
36.0,5.6504416,9.501943,-1.5611293,VISam,64
37.0,5.6387386,9.507622,-1.5438763,VISam,64
38.0,5.507135,9.675073,-1.918438,VISam,64
39.0,5.55987,9.666565,-1.9918207,VISam,64
40.0,5.630486,9.557744,-1.5888861,VISam,64
41.0,5.3350935,9.856738,-2.3091667,VISam,64
42.0,5.4072948,9.788774,-1.9699315,VISam,64
43.0,5.211364,9.96683,-2.2934008,VISam,64
44.0,5.306324,9.918956,-2.1402683,VISam,64
45.0,5.492455,9.872293,-2.1372085,VISam,64
46.0,5.4486647,9.698204,-2.4081347,VISam,64
47.0,5.5570154,9.599494,-1.6910383,VISam,64
48.0,5.3234024,9.794879,-2.023941,VISam,64
49.0,5.3711104,9.740715,-1.9968481,VISam,64
50.0,5.323025,9.925952,-2.2524722,VISam,64
51.0,5.422921,9.706822,-1.866061,VISam,64
52.0,5.340083,9.751213,-2.1971893,VISam,64
53.0,5.499094,9.751262,-2.0853627,VISam,64
54.0,5.499452,9.834761,-2.3567634,VISam,64
55.0,5.7444434,9.600542,-2.2050443,VISam,64
56.0,5.203117,10.444405,-3.0498772,VISam,64
57.0,5.30747,10.097008,-3.0354762,VISam,64
58.0,5.2880754,9.949247,-2.5140667,VISam,64
59.0,5.6658173,9.616261,-2.1572351,VISam,64
60.0,5.284704,9.973843,-2.5839202,VISam,64
61.0,5.4166183,10.094038,-2.7570074,VISam,64
62.0,5.359623,9.905334,-2.530267,VISam,64
63.0,9.393605,9.269615,-0.8553756,VISam,64
64.0,9.06352,8.713756,-0.45796663,VISam,64
65.0,9.071885,8.684103,-0.49497655,VISam,64
66.0,9.044201,8.654202,-0.5610788,VISam,64
67.0,9.128265,8.687859,-0.5123662,VISam,64
68.0,9.12037,8.662366,-0.5768032,VISam,64
69.0,9.288768,8.843541,-0.6177519,VISam,64
70.0,9.272417,8.86886,-0.56641483,VISam,64
71.0,9.704703,9.141068,-0.20417257,VISam,64
72.0,9.630191,9.094329,-0.26067472,VISam,64
73.0,9.696212,9.218775,-0.14306237,VISam,64
74.0,9.689464,9.226359,-0.063512504,VISam,64
75.0,9.757461,9.361628,-0.026786303,VISam,64
76.0,9.817461,9.511575,-0.14053743,VISam,64
77.0,9.694588,9.38707,-0.120872386,VISam,64
78.0,9.7307415,9.419735,-0.37673792,VISam,64
79.0,9.694778,9.18829,-0.32543248,VISam,64
80.0,4.5659003,10.475935,-2.496407,VISam,64
81.0,4.5113063,10.535766,-2.4392502,VISam,64
82.0,4.6081753,10.430266,-2.5136352,VISam,64
83.0,9.665052,9.49307,-0.06819165,VISam,64
84.0,4.527235,10.531734,-2.5200362,VISam,64
85.0,4.618448,10.409133,-2.5111568,VISam,64
86.0,4.7206836,10.515825,-2.6732404,VISam,64
87.0,4.6860933,10.441749,-2.6218157,VISam,64
88.0,4.6623797,10.439972,-2.5398107,VISam,64
89.0,4.685958,10.42042,-2.5950882,VISam,64
90.0,4.6538315,10.395422,-2.5246863,VISam,64
91.0,4.6507096,10.391188,-2.4860904,VISam,64
