frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,-0.2539689,16.482038,5.7981987,VISl,20
1.0,0.027637314,15.627437,4.505072,VISl,20
2.0,-1.0181524,16.208168,6.1600003,VISl,20
3.0,-0.29966778,16.924215,6.0237703,VISl,20
4.0,-0.28514925,17.087353,6.290192,VISl,20
5.0,-0.08976467,17.234985,6.490651,VISl,20
6.0,-0.17392428,17.4304,6.3512406,VISl,20
7.0,-0.07715549,17.344769,6.4540863,VISl,20
8.0,-0.13219948,17.28366,6.4555507,VISl,20
9.0,-0.020473171,17.295557,6.4468007,VISl,20
10.0,-0.025082165,17.26554,6.4843564,VISl,20
11.0,-0.011546644,17.350927,6.4947386,VISl,20
12.0,-0.08516619,17.271933,6.387373,VISl,20
13.0,-0.1074936,17.338882,6.3882527,VISl,20
14.0,0.061930425,17.220459,6.4387484,VISl,20
15.0,0.06005007,17.183384,6.4358597,VISl,20
16.0,0.067462206,17.182365,6.480926,VISl,20
17.0,0.01809951,17.079433,6.425187,VISl,20
18.0,0.34074026,17.07299,6.4824214,VISl,20
19.0,0.1843988,16.88949,6.4653735,VISl,20
20.0,0.24885805,16.877142,6.525712,VISl,20
21.0,0.33003432,17.081272,6.3046565,VISl,20
22.0,5.0711594,15.134277,7.261921,VISl,20
23.0,4.979121,14.725183,7.176559,VISl,20
24.0,5.0369415,14.3094845,7.103673,VISl,20
25.0,4.994944,14.42253,7.1454034,VISl,20
26.0,5.218658,15.207297,7.2937193,VISl,20
27.0,5.547148,15.308973,7.2340245,VISl,20
28.0,5.42802,15.194398,7.2059083,VISl,20
29.0,5.1525936,14.881619,7.138855,VISl,20
30.0,5.496995,15.152768,7.2134295,VISl,20
31.0,5.424459,15.126913,7.3140063,VISl,20
32.0,5.087042,14.554256,6.9357142,VISl,20
33.0,5.1543036,14.457789,7.155508,VISl,20
34.0,4.872991,14.682717,6.98677,VISl,20
35.0,5.5932145,15.052913,7.239387,VISl,20
36.0,5.721196,15.205993,7.187054,VISl,20
37.0,5.545064,15.1633005,7.3245,VISl,20
38.0,4.884629,14.514211,7.0491886,VISl,20
39.0,5.0120153,14.718021,6.988337,VISl,20
40.0,5.3253694,15.029587,6.9507694,VISl,20
41.0,5.596549,15.022664,7.2581315,VISl,20
42.0,5.3786297,14.172722,7.051028,VISl,20
43.0,5.113253,14.042014,6.9941235,VISl,20
44.0,5.015267,14.618656,7.146471,VISl,20
45.0,5.6207547,14.227315,6.9985414,VISl,20
46.0,5.4711413,13.950285,6.8678565,VISl,20
47.0,5.109,14.165939,6.9724655,VISl,20
48.0,5.034803,14.291064,7.009842,VISl,20
49.0,5.672073,14.699338,7.1734495,VISl,20
50.0,5.836077,14.452538,6.423405,VISl,20
51.0,5.188684,14.127334,7.0737715,VISl,20
52.0,5.235979,14.02877,6.996482,VISl,20
53.0,5.4237394,14.007866,6.8339396,VISl,20
54.0,5.787377,15.243612,7.2402124,VISl,20
55.0,5.959986,15.331621,7.2206883,VISl,20
56.0,5.4955025,15.587856,5.3918996,VISl,20
57.0,5.6967573,15.054179,7.2467704,VISl,20
58.0,6.234734,15.353129,6.9682565,VISl,20
59.0,5.7754474,15.212337,6.8230495,VISl,20
60.0,5.5249476,15.203416,7.132083,VISl,20
61.0,5.400362,15.183948,6.990925,VISl,20
62.0,6.0450735,15.537763,6.587551,VISl,20
63.0,5.2962174,14.688895,4.5815763,VISl,20
64.0,-1.0102361,16.131027,6.188709,VISl,20
65.0,-1.5244411,15.996978,6.3859005,VISl,20
66.0,-1.410753,16.088167,6.3939786,VISl,20
67.0,-1.4656615,16.03228,6.318215,VISl,20
68.0,-1.4579242,16.061985,6.3729935,VISl,20
