frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,17.560163,4.481276,-5.257196,VISp,52
1.0,17.54488,4.5774407,-5.3434772,VISp,52
2.0,14.706347,4.982232,-4.904333,VISp,52
3.0,14.47327,4.8651247,-4.8739367,VISp,52
4.0,14.531102,4.8993416,-4.5875864,VISp,52
5.0,16.189499,4.3895254,-5.718589,VISp,52
6.0,16.240856,4.389269,-5.7130294,VISp,52
7.0,16.12503,4.4429345,-5.717277,VISp,52
8.0,16.39988,4.320846,-5.5172715,VISp,52
9.0,16.080704,4.520601,-5.618132,VISp,52
10.0,16.196232,4.4439144,-5.5397544,VISp,52
11.0,16.002472,4.5415235,-5.601041,VISp,52
12.0,15.708355,4.965887,-5.471851,VISp,52
13.0,16.066162,4.5568314,-5.576996,VISp,52
14.0,15.908367,4.700518,-5.531772,VISp,52
15.0,15.811528,4.8296213,-5.501203,VISp,52
16.0,16.03756,7.9692497,-6.4088364,VISp,52
17.0,16.025976,8.002765,-6.3347797,VISp,52
18.0,16.093313,7.931129,-6.373329,VISp,52
19.0,16.120007,7.923685,-6.4049916,VISp,52
20.0,16.027756,7.85984,-6.30769,VISp,52
21.0,16.10354,7.970304,-6.434959,VISp,52
22.0,16.174202,7.945903,-6.373842,VISp,52
23.0,16.365488,7.8013806,-6.4816375,VISp,52
24.0,16.340052,7.7485414,-6.362594,VISp,52
25.0,16.369852,7.673183,-6.4356723,VISp,52
26.0,16.207985,7.8489485,-6.434937,VISp,52
27.0,16.266043,7.783855,-6.3634195,VISp,52
28.0,16.259108,7.7450776,-6.383331,VISp,52
29.0,16.474768,7.729746,-6.5133295,VISp,52
30.0,16.799547,7.5168467,-6.607586,VISp,52
31.0,16.199389,7.721191,-6.358209,VISp,52
32.0,16.199741,7.6530523,-6.290005,VISp,52
33.0,16.094635,7.7772384,-6.294908,VISp,52
34.0,16.374859,7.6670694,-6.371293,VISp,52
35.0,16.64021,7.6225038,-6.560394,VISp,52
36.0,16.829935,7.369168,-6.4710054,VISp,52
37.0,16.146431,7.365387,-6.0835032,VISp,52
38.0,16.072077,7.4619613,-6.1542892,VISp,52
39.0,16.88454,7.467559,-6.6368904,VISp,52
40.0,16.825945,7.312211,-6.4178443,VISp,52
41.0,16.635006,7.3377447,-6.2748675,VISp,52
42.0,16.080385,7.519921,-6.3478713,VISp,52
43.0,16.035732,7.405763,-6.327372,VISp,52
44.0,16.142069,7.403721,-6.1227217,VISp,52
45.0,15.899866,7.189766,-5.8331957,VISp,52
46.0,15.986681,7.2482476,-5.921583,VISp,52
47.0,16.169233,7.3787518,-6.094642,VISp,52
48.0,15.915243,7.350692,-6.0057974,VISp,52
49.0,15.995476,7.2514935,-6.0694194,VISp,52
50.0,16.201626,7.4189825,-6.120853,VISp,52
51.0,16.354906,7.267449,-6.1041784,VISp,52
52.0,16.08878,7.4682717,-6.177412,VISp,52
53.0,16.000248,7.293254,-5.9707217,VISp,52
54.0,16.853083,7.2117267,-6.3924894,VISp,52
55.0,16.759356,7.326351,-6.3613405,VISp,52
56.0,16.533134,7.3377113,-6.2133427,VISp,52
57.0,17.028008,6.817333,-6.3393817,VISp,52
58.0,16.263376,7.270714,-6.0943613,VISp,52
59.0,16.927176,7.0153375,-6.3498607,VISp,52
60.0,16.844658,7.332404,-6.474494,VISp,52
61.0,17.589235,6.592577,-6.411845,VISp,52
62.0,16.768335,7.2499647,-6.3394694,VISp,52
63.0,16.121498,7.2323523,-6.0674686,VISp,52
64.0,16.286182,7.133339,-6.0565104,VISp,52
65.0,16.251577,6.9536233,-6.1707697,VISp,52
66.0,16.258337,5.2883773,-4.8063207,VISp,52
67.0,16.197826,5.2773924,-4.8072405,VISp,52
68.0,17.517908,4.8725166,-5.5525837,VISp,52
69.0,17.963348,4.822014,-5.841621,VISp,52
70.0,17.699738,4.771963,-5.672363,VISp,52
71.0,18.178516,4.9255633,-6.128187,VISp,52
72.0,18.063444,5.3547945,-6.2424064,VISp,52
73.0,18.047527,5.424481,-6.24865,VISp,52
74.0,18.140558,4.9871645,-6.2462006,VISp,52
75.0,18.183651,5.032447,-6.1976075,VISp,52
76.0,18.164854,4.699025,-6.0025234,VISp,52
77.0,18.250402,4.412885,-6.0048265,VISp,52
78.0,18.277422,4.5843477,-6.1502876,VISp,52
79.0,18.288145,4.4313645,-6.0767856,VISp,52
80.0,16.339895,5.6137486,-5.1364317,VISp,52
