frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,5.8448052,0.26193702,-2.061331,VISpm,64
1.0,2.6955674,2.8388789,0.123921245,VISpm,64
2.0,0.74911696,0.88674,2.163761,VISpm,64
3.0,0.7099866,1.7817063,0.017024362,VISpm,64
4.0,0.675202,1.7670509,0.04056564,VISpm,64
5.0,0.36008802,1.5846123,0.21375753,VISpm,64
6.0,0.78167003,1.7818292,0.110102616,VISpm,64
7.0,0.86108613,1.6995566,0.115679346,VISpm,64
8.0,0.89894855,1.0366422,0.45177916,VISpm,64
9.0,-1.6216314,1.2508597,0.90780675,VISpm,64
10.0,-1.6155714,1.2505937,1.0461104,VISpm,64
11.0,-1.5681949,1.2644352,0.92056316,VISpm,64
12.0,-1.6430652,1.2438277,0.9629966,VISpm,64
13.0,-1.6697937,1.1572387,1.1146022,VISpm,64
14.0,-1.7495475,1.1685399,0.9922732,VISpm,64
15.0,-1.7653179,1.1629959,1.0835325,VISpm,64
16.0,-1.7333218,1.1854829,1.0624532,VISpm,64
17.0,-1.6890537,1.1993314,1.0420052,VISpm,64
18.0,-1.7488121,1.153157,1.1054704,VISpm,64
19.0,-1.6295795,1.0535997,1.3278369,VISpm,64
20.0,-1.6537173,1.1171266,1.2258047,VISpm,64
21.0,-1.7309179,1.1591642,1.0899122,VISpm,64
22.0,-1.7310936,1.0730406,1.2479496,VISpm,64
23.0,-1.4673039,1.0784191,1.4242525,VISpm,64
24.0,-1.5321797,0.95186555,1.5708903,VISpm,64
25.0,-1.5714653,0.9048783,1.6546348,VISpm,64
26.0,-1.5276031,0.6519603,2.144897,VISpm,64
27.0,-1.4889634,0.9649888,1.542239,VISpm,64
28.0,-1.576181,0.7538838,1.801074,VISpm,64
29.0,-1.5803267,0.67327356,2.263811,VISpm,64
30.0,-1.4839743,0.6113428,2.364091,VISpm,64
31.0,-1.1454465,1.0721586,1.6947328,VISpm,64
32.0,-1.4817535,0.72844034,1.983102,VISpm,64
33.0,-1.5435858,0.6811079,2.303247,VISpm,64
34.0,-1.3883102,0.56161666,2.6704814,VISpm,64
35.0,-1.5139885,0.8601207,1.7025841,VISpm,64
36.0,-1.2707903,0.6809527,2.3729506,VISpm,64
37.0,-1.387183,0.8017043,1.7606028,VISpm,64
38.0,-1.2106476,1.0784177,1.4735483,VISpm,64
39.0,-0.7307147,0.88002545,2.3493478,VISpm,64
40.0,-1.144299,0.9324294,2.1971734,VISpm,64
41.0,-0.6944845,1.1416461,1.7434996,VISpm,64
42.0,-1.0676992,1.0584548,1.5539565,VISpm,64
43.0,-0.33252084,1.199237,1.402417,VISpm,64
44.0,-0.70385176,0.8807781,2.2008436,VISpm,64
45.0,-1.131366,1.1211013,1.9726666,VISpm,64
46.0,-1.3686078,0.8059151,3.734161,VISpm,64
47.0,-1.1011744,1.0387962,1.6036208,VISpm,64
48.0,-0.7812008,0.9565027,1.73787,VISpm,64
49.0,-1.2566488,0.949751,1.6144623,VISpm,64
50.0,-1.1287389,1.1106347,1.5283779,VISpm,64
51.0,-0.86327904,1.0538591,1.7042596,VISpm,64
52.0,-1.1575872,1.0765868,2.0770664,VISpm,64
53.0,-1.1406705,1.0670995,1.4728447,VISpm,64
54.0,-0.95908993,1.0408043,1.7263625,VISpm,64
55.0,-1.1207775,0.9527262,1.887487,VISpm,64
56.0,-0.94178325,1.1270417,2.1704407,VISpm,64
57.0,-0.9941519,0.97715694,1.783255,VISpm,64
58.0,-0.99205893,0.9254967,1.875389,VISpm,64
59.0,-1.2239287,1.0192015,2.3831248,VISpm,64
60.0,-0.9927712,1.0336589,1.5188961,VISpm,64
61.0,-0.83802474,0.74519295,2.2124581,VISpm,64
62.0,-0.89501226,1.0133117,2.3956995,VISpm,64
63.0,-0.5584343,0.97954977,1.8087884,VISpm,64
64.0,-0.31482285,1.2435455,1.5252365,VISpm,64
65.0,0.07326469,0.9474469,0.5921499,VISpm,64
66.0,0.0883614,0.9421629,0.5780689,VISpm,64
