frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,13.871617,1.4813788,8.804568,VISrl,41
1.0,14.024702,1.6079279,8.891133,VISrl,41
2.0,13.4418745,1.2179058,8.868438,VISrl,41
3.0,13.092306,0.89845914,9.155997,VISrl,41
4.0,12.542209,1.0339006,8.521047,VISrl,41
5.0,12.415979,1.1440344,8.463144,VISrl,41
6.0,12.466683,1.009154,8.535291,VISrl,41
7.0,12.272755,1.1176888,8.337269,VISrl,41
8.0,12.563105,1.1956351,8.39207,VISrl,41
9.0,12.446721,1.0864526,8.407753,VISrl,41
10.0,12.047917,0.974893,8.008992,VISrl,41
11.0,11.754621,1.1175759,7.9916983,VISrl,41
12.0,11.92817,0.93819815,8.007499,VISrl,41
13.0,10.912216,1.2597188,8.22202,VISrl,41
14.0,10.87617,1.2157662,8.652375,VISrl,41
15.0,11.510708,0.47299406,8.46193,VISrl,41
16.0,10.808024,1.1851724,8.50184,VISrl,41
17.0,11.653068,0.7945062,8.223349,VISrl,41
18.0,10.690922,0.9217149,8.742168,VISrl,41
19.0,10.707322,1.0967914,8.651863,VISrl,41
20.0,10.671602,1.0206441,8.535288,VISrl,41
21.0,10.680885,0.9652114,8.710501,VISrl,41
22.0,10.658042,0.5454372,8.492878,VISrl,41
23.0,10.999088,0.5102263,8.157355,VISrl,41
24.0,10.378078,0.62262446,8.717022,VISrl,41
25.0,10.348756,1.0014428,8.48884,VISrl,41
26.0,9.42045,0.071070544,7.399105,VISrl,41
27.0,10.773875,0.5524491,8.630339,VISrl,41
28.0,9.422844,0.18546045,7.4432173,VISrl,41
29.0,9.227184,0.11995832,8.215441,VISrl,41
30.0,10.476887,0.29217795,9.174031,VISrl,41
31.0,9.404518,0.25583616,7.5840645,VISrl,41
32.0,9.650897,0.4230013,8.898071,VISrl,41
33.0,9.417013,0.77060515,7.821196,VISrl,41
34.0,10.573948,0.67087674,8.997943,VISrl,41
35.0,9.818675,0.22563855,9.230284,VISrl,41
36.0,9.576987,0.24590613,9.262533,VISrl,41
37.0,9.763994,0.30811936,9.292755,VISrl,41
38.0,9.258326,0.6401701,8.685069,VISrl,41
39.0,9.356926,0.9353009,8.696322,VISrl,41
40.0,9.517023,0.8203041,8.028405,VISrl,41
41.0,9.355235,0.90369034,8.719869,VISrl,41
42.0,10.2877655,0.31073013,8.924143,VISrl,41
43.0,9.231611,0.9472254,8.503094,VISrl,41
