frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,5.163439,10.882367,3.4298115,VPM,55
1.0,4.8927956,10.866086,5.7347584,VPM,55
2.0,4.4537306,12.019446,4.50342,VPM,55
3.0,5.7368436,11.663303,4.4954796,VPM,55
4.0,4.726676,10.263151,3.204192,VPM,55
5.0,6.2982793,11.740519,4.4506397,VPM,55
6.0,3.8672159,10.549601,5.597269,VPM,55
7.0,6.527716,11.327333,4.6990685,VPM,55
8.0,4.9794226,11.997971,5.330091,VPM,55
9.0,3.8021822,9.925822,4.517362,VPM,55
10.0,5.5692873,10.784714,4.2580795,VPM,55
11.0,4.746484,11.468471,3.4921117,VPM,55
12.0,5.084491,10.044039,3.3602705,VPM,55
13.0,5.4493437,9.933931,3.305638,VPM,55
14.0,4.8384304,10.663085,2.9864244,VPM,55
15.0,4.415708,10.567926,3.2317402,VPM,55
16.0,4.5678864,11.694183,4.8980284,VPM,55
17.0,4.0851326,10.092536,5.2272987,VPM,55
18.0,4.3411593,10.364731,5.280492,VPM,55
19.0,4.8512473,11.918318,3.465083,VPM,55
20.0,4.7132564,11.860661,3.4232693,VPM,55
21.0,4.810409,11.814043,3.4702277,VPM,55
22.0,5.524238,10.781104,5.526201,VPM,55
23.0,4.393478,11.652541,5.135981,VPM,55
24.0,4.6294527,11.7142515,5.0813484,VPM,55
25.0,3.982225,9.94278,5.2923007,VPM,55
26.0,4.239935,9.550776,5.3086824,VPM,55
27.0,6.6019964,10.815571,4.597592,VPM,55
28.0,4.770041,11.455311,5.14676,VPM,55
29.0,4.222682,9.834578,5.7026734,VPM,55
30.0,4.230908,9.715542,5.4721212,VPM,55
31.0,6.3781633,10.459846,3.5529397,VPM,55
32.0,6.0210495,10.029761,3.9986498,VPM,55
33.0,5.633453,10.069432,2.9441135,VPM,55
34.0,5.032714,10.908214,2.6662796,VPM,55
35.0,4.903856,11.54338,5.5135903,VPM,55
36.0,6.3753686,10.674976,5.4895945,VPM,55
37.0,5.640175,9.792822,3.5370224,VPM,55
38.0,4.547584,8.950813,4.502119,VPM,55
39.0,3.9264743,10.277804,3.1485555,VPM,55
40.0,4.361868,10.349719,5.5210743,VPM,55
41.0,6.0811076,10.276684,5.2070026,VPM,55
