session_id,frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
743475441,0.0,7.150153,4.939535,-0.55160975,PP,12
743475441,1.0,6.7127337,4.4528575,-1.2969575,PP,12
743475441,2.0,6.8960743,3.939709,-0.7552072,PP,12
743475441,3.0,6.498726,3.9159167,-0.7724968,PP,12
743475441,4.0,5.5944324,3.4843783,-0.7947305,PP,12
743475441,5.0,5.730752,3.6791348,-0.7961155,PP,12
743475441,6.0,6.9927907,4.0640225,-0.8479365,PP,12
743475441,7.0,7.2470617,3.8924341,-0.27113435,PP,12
743475441,8.0,5.6339936,3.3414862,-0.48428482,PP,12
743475441,9.0,7.002149,4.350824,-1.1389871,PP,12
743475441,10.0,6.024189,3.9768195,-1.4765468,PP,12
743475441,11.0,7.056021,4.016983,0.20685472,PP,12
743475441,12.0,6.4952397,3.8959875,-1.2324401,PP,12
743475441,13.0,5.253484,4.997136,-1.0651487,PP,12
743475441,14.0,6.849528,4.1560864,-1.1230797,PP,12
743475441,15.0,6.7393904,3.828606,0.10355901,PP,12
743475441,16.0,7.2134686,4.24988,-0.8431755,PP,12
743475441,17.0,6.386359,3.20036,1.0336531,PP,12
743475441,18.0,6.7188005,3.093984,-0.6482649,PP,12
743475441,19.0,6.676921,6.099116,-0.3831732,PP,12
743475441,20.0,4.619837,4.733515,-0.93159443,PP,12
743475441,21.0,6.430081,6.6532197,0.5827127,PP,12
743475441,22.0,7.6540747,5.555128,0.4527742,PP,12
743475441,23.0,4.926301,3.582026,-1.2500108,PP,12
743475441,24.0,7.112574,3.9085405,-0.3677524,PP,12
743475441,25.0,6.7931395,4.0595145,0.9804036,PP,12
743475441,26.0,7.302782,4.11116,-0.45540515,PP,12
743475441,27.0,4.848887,4.63376,1.4309815,PP,12
743475441,28.0,5.346907,4.2209744,-1.1057864,PP,12
743475441,29.0,7.348181,4.3900204,1.1219946,PP,12
743475441,30.0,6.190939,4.400695,1.5103093,PP,12
743475441,31.0,6.2693777,3.1901596,0.4544299,PP,12
743475441,32.0,7.6768327,4.4240007,0.5956057,PP,12
743475441,33.0,7.1581078,3.477438,0.2634075,PP,12
743475441,34.0,6.941739,3.038323,-0.13960819,PP,12
743475441,35.0,5.867602,3.2259054,-0.6191925,PP,12
743475441,36.0,7.4066987,4.356528,0.9981427,PP,12
743475441,37.0,5.4513435,3.7216806,-0.62748975,PP,12
743475441,38.0,6.685283,5.209548,2.2777817,PP,12
743475441,39.0,5.0479984,4.683008,1.3943995,PP,12
743475441,40.0,6.617756,5.4547396,-0.6472007,PP,12
743475441,41.0,7.340677,4.408123,1.0395683,PP,12
743475441,42.0,6.361657,4.182991,1.9583718,PP,12
743475441,43.0,7.4441695,4.3294005,1.6122929,PP,12
743475441,44.0,7.300971,3.615187,0.6151591,PP,12
743475441,45.0,7.7335854,5.056727,0.63450646,PP,12
743475441,46.0,6.3634763,4.244741,1.5324655,PP,12
743475441,47.0,7.4898868,4.2389197,1.6868988,PP,12
743475441,48.0,7.09093,3.1530833,-0.25051302,PP,12
743475441,49.0,6.7800145,3.0231597,-0.14632492,PP,12
743475441,50.0,6.5083957,4.049664,-1.027129,PP,12
743475441,51.0,6.9426475,3.9238882,-0.00037938933,PP,12
743475441,52.0,5.392717,4.2663345,-1.4633178,PP,12
743475441,53.0,6.2950478,4.4277334,1.7342064,PP,12
743475441,54.0,7.351469,5.1762953,-0.46452525,PP,12
743475441,55.0,4.8067226,4.8009057,0.7389541,PP,12
743475441,56.0,6.203448,5.055451,-0.24546723,PP,12
743475441,57.0,6.6988263,4.9247556,0.37268963,PP,12
743475441,58.0,5.9906464,4.353959,1.1403629,PP,12
743475441,59.0,6.8828464,3.4096422,0.949766,PP,12
743475441,60.0,6.3485556,5.205517,1.8892105,PP,12
743475441,61.0,6.5471096,5.3974986,1.6279676,PP,12
743475441,62.0,5.398157,4.939885,1.8558208,PP,12
743475441,63.0,6.453957,5.1861553,2.1102543,PP,12
743475441,64.0,7.203972,5.464469,1.2648714,PP,12
743475441,65.0,4.053912,6.8819075,-1.1445866,PP,12
743475441,66.0,6.5518312,6.8076253,0.19934021,PP,12
743475441,67.0,3.9770782,6.997408,-1.166701,PP,12
743475441,68.0,3.9880056,6.7969265,-0.7505042,PP,12
743475441,69.0,3.8498578,6.855464,-1.0304364,PP,12
743475441,70.0,3.9791474,6.8770666,-1.1464515,PP,12
743475441,71.0,3.8614008,6.934062,-1.1454195,PP,12
743475441,72.0,3.8897395,6.946519,-1.113345,PP,12
743475441,73.0,3.8604991,6.930537,-1.0085216,PP,12
743475441,74.0,4.0268517,6.6722846,-1.33565,PP,12
743475441,75.0,4.046018,6.833402,-1.1080768,PP,12
743475441,76.0,4.2219076,6.7613173,-1.1143036,PP,12
743475441,77.0,4.166533,6.4394474,-1.3689731,PP,12
743475441,78.0,4.219735,6.392115,-1.2911664,PP,12
743475441,79.0,4.126834,6.3298483,-1.3655524,PP,12
743475441,80.0,5.0282326,6.0852327,-0.7838034,PP,12
743475441,81.0,5.019512,5.007886,-1.5030955,PP,12
743475441,82.0,5.100861,5.1071115,-1.506851,PP,12
