session_id,frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
719161530,0.0,5.4629936,7.4790583,0.6955111,VISpm,18
719161530,1.0,5.5170226,7.471466,0.5553836,VISpm,18
719161530,2.0,5.640319,7.5533013,0.4738602,VISpm,18
719161530,3.0,5.175527,6.9533725,0.46980977,VISpm,18
719161530,4.0,5.4335837,7.3586793,0.18112235,VISpm,18
719161530,5.0,5.5454116,7.3011284,0.12464864,VISpm,18
719161530,6.0,5.519501,7.3858,-0.023877805,VISpm,18
719161530,7.0,5.546171,7.300918,0.09311749,VISpm,18
719161530,8.0,5.3899508,7.4700837,-0.14793044,VISpm,18
719161530,9.0,4.6053686,8.301303,-1.3113832,VISpm,18
719161530,10.0,4.51734,8.378152,-1.4448371,VISpm,18
719161530,11.0,4.4773836,8.311204,-1.4018271,VISpm,18
719161530,12.0,4.9449587,6.61041,0.30161268,VISpm,18
719161530,13.0,4.4190683,8.499606,-1.716356,VISpm,18
719161530,14.0,4.3850174,8.481393,-1.794802,VISpm,18
719161530,15.0,4.4621954,8.418294,-1.5604928,VISpm,18
719161530,16.0,4.2769866,8.549712,-1.96798,VISpm,18
719161530,17.0,4.257103,8.763553,-2.2911315,VISpm,18
719161530,18.0,4.2037525,8.785496,-2.3675349,VISpm,18
719161530,19.0,4.1813564,8.769641,-2.2278926,VISpm,18
719161530,20.0,4.2584596,8.6512165,-2.2469187,VISpm,18
719161530,21.0,4.144176,8.870529,-2.5616121,VISpm,18
719161530,22.0,4.0830107,8.921192,-2.6506093,VISpm,18
719161530,23.0,4.123774,8.905965,-2.7229865,VISpm,18
719161530,24.0,3.98948,8.794015,-2.612145,VISpm,18
719161530,25.0,4.2051797,8.833112,-2.7852192,VISpm,18
719161530,26.0,3.6031764,8.938402,-3.3551555,VISpm,18
719161530,27.0,4.0437484,8.778717,-2.7890778,VISpm,18
719161530,28.0,3.9178538,8.713592,-3.0575795,VISpm,18
719161530,29.0,3.6650455,8.744196,-3.2977889,VISpm,18
719161530,30.0,3.6005409,8.96109,-3.2356808,VISpm,18
719161530,31.0,3.928617,8.663341,-3.0158386,VISpm,18
719161530,32.0,3.2634952,8.717857,-3.496529,VISpm,18
719161530,33.0,3.4910052,8.92733,-3.4900978,VISpm,18
719161530,34.0,3.9950252,8.809687,-2.897854,VISpm,18
719161530,35.0,3.7258205,8.526115,-3.2211237,VISpm,18
719161530,36.0,3.8201208,6.7103405,-3.5717638,VISpm,18
719161530,37.0,3.4391944,8.869962,-3.5535116,VISpm,18
719161530,38.0,3.971806,8.856871,-2.900687,VISpm,18
719161530,39.0,3.4335892,8.668441,-3.4998302,VISpm,18
719161530,40.0,2.8749495,5.6632905,-4.7366734,VISpm,18
719161530,41.0,3.8828766,8.590171,-3.2359097,VISpm,18
719161530,42.0,3.8630366,8.273996,-2.7578132,VISpm,18
719161530,43.0,3.1907096,8.770204,-3.5454757,VISpm,18
719161530,44.0,3.7878697,8.567197,-2.7588458,VISpm,18
719161530,45.0,4.2444515,8.479481,-3.0539298,VISpm,18
719161530,46.0,2.9738598,8.627031,-3.3625977,VISpm,18
719161530,47.0,4.1357574,8.289576,-3.2209446,VISpm,18
719161530,48.0,3.632924,8.818246,-2.9753728,VISpm,18
719161530,49.0,4.012461,8.433514,-3.3286204,VISpm,18
719161530,50.0,3.03902,7.8137894,-2.958951,VISpm,18
719161530,51.0,2.931268,8.20576,-3.1005883,VISpm,18
719161530,52.0,3.6679537,8.837097,-2.944106,VISpm,18
719161530,53.0,2.9667022,8.429231,-3.1112957,VISpm,18
719161530,54.0,2.8143272,8.4426,-3.0254192,VISpm,18
719161530,55.0,3.3359735,7.5263934,-3.4428332,VISpm,18
719161530,56.0,3.3958962,8.515933,-3.3680868,VISpm,18
719161530,57.0,3.3178158,8.744724,-3.6167026,VISpm,18
719161530,58.0,3.542698,8.300442,-3.0761752,VISpm,18
719161530,59.0,3.3726058,8.411283,-3.4099033,VISpm,18
719161530,60.0,3.5103066,8.933244,-3.3601332,VISpm,18
719161530,61.0,4.442853,5.7301817,-4.2594104,VISpm,18
719161530,62.0,3.015827,8.465775,-3.2919881,VISpm,18
719161530,63.0,3.3432467,8.288275,-3.5584629,VISpm,18
719161530,64.0,3.0802782,8.057881,-3.1717978,VISpm,18
719161530,65.0,4.0033092,7.16959,-2.1055179,VISpm,18
719161530,66.0,4.0790405,7.457055,-2.1801014,VISpm,18
719161530,67.0,3.7648332,7.7160296,-2.3091018,VISpm,18
719161530,68.0,3.7225988,7.0668473,-2.2446961,VISpm,18
719161530,69.0,3.225803,5.850829,-4.785598,VISpm,18
719161530,70.0,3.5987415,5.9827614,-4.157193,VISpm,18
719161530,71.0,3.211655,5.807642,-4.823234,VISpm,18
719161530,72.0,3.6039748,6.080748,-4.5003858,VISpm,18
719161530,73.0,3.4698267,6.0730658,-4.58967,VISpm,18
719161530,74.0,4.3787327,7.3341,-3.3576305,VISpm,18
719161530,75.0,4.859178,5.5345116,-4.0945444,VISpm,18
719161530,76.0,4.364525,7.9869237,-3.2286973,VISpm,18
719161530,77.0,4.377872,7.979057,-3.212047,VISpm,18
719161530,78.0,4.289444,7.8554897,-3.0956705,VISpm,18
719161530,79.0,4.36451,7.9631476,-3.2555907,VISpm,18
719161530,80.0,4.275156,8.256443,-3.222949,VISpm,18
719161530,81.0,5.337121,6.117195,-4.214716,VISpm,18
719161530,82.0,4.219475,8.342931,-3.2116783,VISpm,18
719161530,83.0,4.294516,7.7309804,-3.1023061,VISpm,18
719161530,84.0,3.9816508,7.3842993,-2.625941,VISpm,18
719161530,85.0,4.502683,6.8417025,-3.6974666,VISpm,18
719161530,86.0,3.4203835,7.40383,-2.1934087,VISpm,18
719161530,87.0,4.1925187,8.294342,-3.2673705,VISpm,18
719161530,88.0,3.9463096,8.880467,-2.935259,VISpm,18
719161530,89.0,3.3057532,8.709342,-3.6071012,VISpm,18
719161530,90.0,3.380307,8.829228,-3.5834756,VISpm,18
719161530,91.0,3.777099,8.75266,-3.1479468,VISpm,18
719161530,92.0,2.6159322,6.4847093,-3.3736613,VISpm,18
719161530,93.0,3.489456,8.92443,-3.475229,VISpm,18
719161530,94.0,3.7170904,8.889194,-3.2259288,VISpm,18
719161530,95.0,3.5626235,5.7562394,-3.8503678,VISpm,18
719161530,96.0,3.7756815,8.462884,-3.425565,VISpm,18
719161530,97.0,4.0290504,8.385044,-3.3619657,VISpm,18
719161530,98.0,3.189235,8.369299,-3.3399074,VISpm,18
719161530,99.0,3.5870903,8.436589,-3.563478,VISpm,18
719161530,100.0,3.7664034,8.985316,-3.1039057,VISpm,18
719161530,101.0,3.5463734,8.276153,-3.6817117,VISpm,18
719161530,102.0,3.5298018,8.870192,-3.2344098,VISpm,18
719161530,103.0,3.549491,8.1805725,-3.5965288,VISpm,18
719161530,104.0,3.9914594,7.6824813,-3.7485485,VISpm,18
719161530,105.0,3.681023,7.9519043,-3.738208,VISpm,18
719161530,106.0,4.055761,7.538595,-3.8293426,VISpm,18
719161530,107.0,3.5197084,8.335108,-3.5770352,VISpm,18
719161530,108.0,2.9675126,7.915949,-3.8482058,VISpm,18
719161530,109.0,3.7756724,8.311598,-3.5929234,VISpm,18
719161530,110.0,3.8807025,7.568895,-3.766806,VISpm,18
719161530,111.0,3.687806,7.7290273,-3.665801,VISpm,18
719161530,112.0,3.6101227,8.114604,-3.4540012,VISpm,18
719161530,113.0,3.4887042,8.0409355,-3.821271,VISpm,18
719161530,114.0,3.4266582,7.8044996,-3.839865,VISpm,18
719161530,115.0,5.0008655,5.6624722,-3.5834026,VISpm,18
719161530,116.0,3.3069549,8.254408,-3.76743,VISpm,18
719161530,117.0,3.5145185,7.8900766,-3.793353,VISpm,18
719161530,118.0,3.1209068,8.833761,-3.489875,VISpm,18
719161530,119.0,3.430504,7.7493944,-3.680125,VISpm,18
719161530,120.0,3.420033,8.185886,-3.6701396,VISpm,18
719161530,121.0,3.3852005,7.7199693,-3.774745,VISpm,18
719161530,122.0,3.4793806,8.256546,-3.743087,VISpm,18
719161530,123.0,3.4250593,7.8118815,-3.794889,VISpm,18
719161530,124.0,3.8538277,6.1177154,-3.9000192,VISpm,18
719161530,125.0,3.1902,8.601437,-3.5670197,VISpm,18
719161530,126.0,3.218302,8.100314,-3.1894066,VISpm,18
719161530,127.0,4.7849054,5.604706,-3.0876462,VISpm,18
719161530,128.0,3.2523649,8.627389,-3.6104884,VISpm,18
719161530,129.0,3.5263672,7.3230877,-2.876638,VISpm,18
